entrada,salida,metodo,tiempo
instancias/instancia_ideal/25X40.in,resultados/instancia_ideal/25X40.out,0,5364.94
instancias/instancia_ideal/5X45.in,resultados/instancia_ideal/5X45.out,0,63.6644
instancias/instancia_ideal/45X10.in,resultados/instancia_ideal/45X10.out,0,504.291
instancias/instancia_ideal/20X15.in,resultados/instancia_ideal/20X15.out,0,142.482
instancias/instancia_ideal/30X40.in,resultados/instancia_ideal/30X40.out,0,9084.61
instancias/instancia_ideal/10X45.in,resultados/instancia_ideal/10X45.out,0,503.286
instancias/instancia_ideal/5X20.in,resultados/instancia_ideal/5X20.out,0,6.99486
instancias/instancia_ideal/15X45.in,resultados/instancia_ideal/15X45.out,0,1684.39
instancias/instancia_ideal/40X40.in,resultados/instancia_ideal/40X40.out,0,21493.1
instancias/instancia_ideal/50X25.in,resultados/instancia_ideal/50X25.out,0,10276.3
instancias/instancia_ideal/30X25.in,resultados/instancia_ideal/30X25.out,0,2232.47
instancias/instancia_ideal/25X30.in,resultados/instancia_ideal/25X30.out,0,2327.47
instancias/instancia_ideal/10X30.in,resultados/instancia_ideal/10X30.out,0,150.95
instancias/instancia_ideal/50X10.in,resultados/instancia_ideal/50X10.out,0,697.503
instancias/instancia_ideal/5X5.in,resultados/instancia_ideal/5X5.out,0,0.138501
instancias/instancia_ideal/25X20.in,resultados/instancia_ideal/25X20.out,0,664.212
instancias/instancia_ideal/30X5.in,resultados/instancia_ideal/30X5.out,0,20.9474
instancias/instancia_ideal/10X15.in,resultados/instancia_ideal/10X15.out,0,20.8982
instancias/instancia_ideal/15X10.in,resultados/instancia_ideal/15X10.out,0,21.7336
instancias/instancia_ideal/5X35.in,resultados/instancia_ideal/5X35.out,0,29.9037
instancias/instancia_ideal/25X10.in,resultados/instancia_ideal/25X10.out,0,86.8684
instancias/instancia_ideal/10X10.in,resultados/instancia_ideal/10X10.out,0,7.50712
instancias/instancia_ideal/40X50.in,resultados/instancia_ideal/40X50.out,0,43147.2
instancias/instancia_ideal/20X25.in,resultados/instancia_ideal/20X25.out,0,673.494
instancias/instancia_ideal/35X30.in,resultados/instancia_ideal/35X30.out,0,6134.18
instancias/instancia_ideal/40X35.in,resultados/instancia_ideal/40X35.out,0,14819.8
