entrada,salida,metodo,tiempo
instancias/instancia_intercalada/25X12.in,resultados/instancia_intercalada/25X12_LU.out,1,161.275
instancias/instancia_intercalada/10X12.in,resultados/instancia_intercalada/10X12_LU.out,1,11.9725
instancias/instancia_intercalada/45X12.in,resultados/instancia_intercalada/45X12_LU.out,1,920.032
instancias/instancia_intercalada/45X8.in,resultados/instancia_intercalada/45X8_LU.out,1,279.916
instancias/instancia_intercalada/5X16.in,resultados/instancia_intercalada/5X16_LU.out,1,4.01997
instancias/instancia_intercalada/25X40.in,resultados/instancia_intercalada/25X40_LU.out,1,5851.77
instancias/instancia_intercalada/45X32.in,resultados/instancia_intercalada/45X32_LU.out,1,17192.7
instancias/instancia_intercalada/15X8.in,resultados/instancia_intercalada/15X8_LU.out,1,11.6715
instancias/instancia_intercalada/40X4.in,resultados/instancia_intercalada/40X4_LU.out,1,25.3589
instancias/instancia_intercalada/10X8.in,resultados/instancia_intercalada/10X8_LU.out,1,4.03805
instancias/instancia_intercalada/30X40.in,resultados/instancia_intercalada/30X40_LU.out,1,10031.8
instancias/instancia_intercalada/20X8.in,resultados/instancia_intercalada/20X8_LU.out,1,25.5277
instancias/instancia_intercalada/45X24.in,resultados/instancia_intercalada/45X24_LU.out,1,7291.99
instancias/instancia_intercalada/15X12.in,resultados/instancia_intercalada/15X12_LU.out,1,36.7561
instancias/instancia_intercalada/5X20.in,resultados/instancia_intercalada/5X20_LU.out,1,7.26412
instancias/instancia_intercalada/40X8.in,resultados/instancia_intercalada/40X8_LU.out,1,196.231
instancias/instancia_intercalada/5X12.in,resultados/instancia_intercalada/5X12_LU.out,1,1.6507
instancias/instancia_intercalada/50X16.in,resultados/instancia_intercalada/50X16_LU.out,1,2989.64
instancias/instancia_intercalada/40X40.in,resultados/instancia_intercalada/40X40_LU.out,1,23714.6
instancias/instancia_intercalada/35X16.in,resultados/instancia_intercalada/35X16_LU.out,1,1039.38
instancias/instancia_intercalada/25X16.in,resultados/instancia_intercalada/25X16_LU.out,1,381.485
instancias/instancia_intercalada/15X36.in,resultados/instancia_intercalada/15X36_LU.out,1,912.061
instancias/instancia_intercalada/20X24.in,resultados/instancia_intercalada/20X24_LU.out,1,636.588
instancias/instancia_intercalada/40X32.in,resultados/instancia_intercalada/40X32_LU.out,1,12276.7
instancias/instancia_intercalada/15X28.in,resultados/instancia_intercalada/15X28_LU.out,1,429.624
instancias/instancia_intercalada/20X28.in,resultados/instancia_intercalada/20X28_LU.out,1,1026.77
instancias/instancia_intercalada/25X20.in,resultados/instancia_intercalada/25X20_LU.out,1,727.113
instancias/instancia_intercalada/35X24.in,resultados/instancia_intercalada/35X24_LU.out,1,3524.22
instancias/instancia_intercalada/10X16.in,resultados/instancia_intercalada/10X16_LU.out,1,27.8643
instancias/instancia_intercalada/40X16.in,resultados/instancia_intercalada/40X16_LU.out,1,1539.61
instancias/instancia_intercalada/5X24.in,resultados/instancia_intercalada/5X24_LU.out,1,13.9587
instancias/instancia_intercalada/50X8.in,resultados/instancia_intercalada/50X8_LU.out,1,372.021
instancias/instancia_intercalada/40X36.in,resultados/instancia_intercalada/40X36_LU.out,1,17384.4
instancias/instancia_intercalada/45X16.in,resultados/instancia_intercalada/45X16_LU.out,1,2216.61
